EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010414466,SMITH COVE PRESERVATION TRUST,% NANCY S LENHART,8223 BRECKSVILLE RD STE 100,BRECKSVILLE,OH,44141-1361,0000,03,3,1000,198806,1,04,350000000,1,01,202412,3,1,00,1,12,60403,1,,,
010441158,JOHN L HAWKES SCHOLARSHIP FUND,% KEYBANK NATL ASSOC,4900 TIEDEMAN ROAD OH-01-49-0381,BROOKLYN,OH,44144-2338,0000,03,3,1000,198902,1,04,040000000,2,01,202407,6,4,00,1,07,1433198,204515,,,
010492125,ALLIANCE OF INDEPENDENT ACADEMIC MEDICAL CENTERS,% F STEPHEN LARNED MD,PO BOX 35756,CANTON,OH,44735-5756,0000,03,3,2000,200004,1,16,000000000,1,01,202412,4,4,01,0,12,197807,433311,433311,H05,
010495814,WETLANDS FOUNDATION,% NANCY S LENHART,8223 BRECKSVILLE RD STE 100,BRECKSVILLE,OH,44141-1361,0000,03,3,1000,199506,1,03,350000000,1,01,202412,5,4,00,1,12,720958,125000,,C30Z,
010549002,FAIRFIELD CHILD DEVELOPMENT CENTER,% MARILYN ANDERSON,140 DONALD DR,FAIRFIELD,OH,45014-3005,0000,03,3,1200,200206,1,11,000000000,1,01,202306,4,4,01,0,06,314101,260438,250593,B21,
010552288,FG FOUNDATION,% COLUMBUS FOUNDATION,1234 E BROAD ST,COLUMBUS,OH,43205-1405,0000,03,3,1000,200207,1,17,000000000,1,01,202412,8,4,01,0,12,10393237,356097,356097,T20,
010557195,FRIENDS OF LUCAS COUNTY CHILDREN SERVICES,% CLARE ARMBRUSTER,PO BOX 441,MAUMEE,OH,43537-0441,0000,03,3,1000,200203,1,15,000000000,1,01,202405,4,3,01,0,05,200925,77301,77301,P80,
010559171,COMMUNITY PARTNERS OF SHAWNEE MENTAL HEALTH CENTER INC,% CYNTHIA L HOLSTEIN,901 WASHINGTON ST,PORTSMOUTH,OH,45662-3944,0000,03,3,1200,200205,1,15,000000000,1,01,202206,0,0,02,0,06,0,0,0,F01,
010560556,ELMWOOD WESLEYAN CHURCH,,309 LINDEN ST,CINCINNATI,OH,45216-2316,2079,03,9,7200,197005,1,10,601030000,5,01,,0,0,06,0,12,,,,,
010561554,SHEPHERDS CROOK MINISTRIES INC,% SCOTT ROSENOW,6515 TAYLOR TRACE LN,FAIRFIELD TWP,OH,45011-7175,0000,03,3,1000,200207,1,15,000000000,1,01,202312,4,4,01,0,12,128146,438271,438271,P30,
010561851,APPOINTED TIME MINISTRIES INC,% BARNABAS B BATARSEH,6062 CHANNINGWAY BLVD,COLUMBUS,OH,43232-2901,1620,03,9,7000,196402,1,10,000000000,0,01,,0,0,06,0,12,,,,,
010567940,CHURCH UNIVERSAL & TRUMPHANT,% ENID WILLARD,766 BRUNSWICK DR,ENON,OH,45323-1806,2669,03,9,7000,197511,1,10,001002029,5,01,,0,0,06,0,12,,,,,SUMMIT LIGHTHOUSE OF DAYTON
010568472,ROLLING THUNDER INC,% JAMES JOHNSON,PO BOX 1455,MEDINA,OH,44258-1455,3437,04,9,1000,199608,2,00,908000000,1,01,202412,0,0,02,0,12,0,0,0,,ROLLING THUNDER CHAPTER 8 OH
010569681,BRETHREN HERITAGE CENTER,% DUANE FLOR,428 N WOLF CREEK STREET SUITE H1,BROOKVILLE,OH,45309-1297,0000,03,3,1000,200206,1,15,000000000,1,01,202412,6,4,01,0,12,1154300,121699,121699,A23,
010572325,SPRINGTIME OF HOPE,% JOSEPH MONTANA,PO BOX 742,AKRON,OH,44309-0742,0000,03,3,7100,200203,1,15,000000000,1,01,202405,4,3,01,0,05,158282,62276,62276,X22,
010572684,MASJID ASSUNNAH,% CHERIF ELMEDDAH,539 LOWELL AVE APT 6,CINCINNATI,OH,45220-2337,0000,03,3,7000,200208,1,10,000000000,1,01,,0,0,06,0,06,,,,,
010573988,ARTS IMPACT INCORPORATED,,3311 PERKINS AVE STE 300,CLEVELAND,OH,44114-4642,0000,03,3,1000,200310,1,16,000000000,1,01,202408,4,5,01,0,08,360149,865062,865062,A62,
010574693,FRIENDS OF OHIO BARNS INC,% LAURA SAEGER,PO BOX 203,BURBANK,OH,44214-0203,0000,03,3,1000,200307,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,A80,
010575256,PLAP INC,% STEVE FINDLAY,4465 N LAKE RD,W FARMINGTON,OH,44491-9743,0000,04,3,1000,201201,2,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,N50,
010575698,COLUMBUS FREE CLINIC,% CHRIS BROOKS,2231 N HIGH ST,COLUMBUS,OH,43201-1101,0000,03,3,1000,200602,1,15,000000000,5,01,202403,4,3,01,0,03,194670,65509,65509,E32,
010577218,GREATER FAITH TEMPLE APOSTOLIC ORIGINAL HOLY CHURCH OF GOD INC,% MARGARET A BARNETT,1186 OAK ST,COLUMBUS,OH,43205-1416,0000,03,3,7000,200406,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010587225,BRUNSWICK FOURSQUARE CHURCH,,PO BOX 399,BRUNSWICK,OH,44212-0399,1061,03,9,7000,194910,1,10,325059927,5,01,,0,0,06,0,12,,,,,
010590897,OHIO FAMILY CAREER AND COMMUNITY LEADERS OF AMERICA ENDOWMENT,% FCCLA STATE ADVISOR,25 S FRONT ST MS611,COLUMBUS,OH,43215-4176,0000,03,3,2000,201903,1,15,000000000,5,01,202306,3,3,02,0,06,26194,25950,25950,B82,
010592309,LEADERSHIP TUSCARAWAS,% WILLIAM H BEISEL,330 UNIVERSITY DR NE,NEW PHILA,OH,44663-9452,0000,03,3,2000,200306,1,15,000000000,1,01,202312,2,3,01,0,12,19679,82175,82175,W70,
010601799,CINCINNATI BLUE JAYS LACROSSE ASSOCIATION,% C/O ROBERT MCNEESE,7000 CRYSTAL SPRINGS RD,CINCINNATI,OH,45227-4416,0000,03,3,1000,200206,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,O50,
010601805,KIRTLAND KIWANIS FOUNDATION,% JAY BAGDASARIAN,10360 LORETO RIDGE DR,KIRTLAND,OH,44094-9547,0000,03,3,1000,201409,1,15,000000000,1,01,202412,4,3,02,0,12,158706,38532,37680,T31,
010603034,RURAL HEALTH COLLABORATIVE OF SOUTHERN OHIO INC,% CHARLES BAIR,PO BOX 40,WINCHESTER,OH,45697-0040,0000,03,3,1000,200404,1,15,000000000,1,01,202312,5,3,01,0,12,549766,74748,74748,E70,
010603536,PICKERINGTON ELEMENTARY PTO,% ROBIN WRIGHT,775 LONG RD,PICKERINGTON,OH,43147-1061,0000,03,3,1000,200701,1,16,000000000,1,01,202406,3,3,02,0,06,28618,42629,17528,B94,
010607132,OUTREACH EMERGENCY SERVICE PROGRAM,% KAREN WHITNEY,881 WAGNER RD,BELLVILLE,OH,44813-8711,0000,03,3,1000,200209,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,E60,
010609240,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,% JANET SZENBORN,120 MARKET STREET,YOUNGSTOWN,OH,44503-1700,1381,05,9,3000,195708,0,00,263264279,5,01,202312,0,0,02,0,12,0,0,0,,L2533OH MAHONING COUNTY AUDITOR
010609356,VAN WERT AREA CONVENTION AND VISITORS BUREAU,% LARRY LEE,PO BOX 237,VAN WERT,OH,45891-0237,0000,06,3,1000,200306,2,00,000000000,1,01,202312,4,3,01,0,12,103062,65207,64992,S41,
010609996,UNITED HOUSE OF GOD INC,% HARRY CALLOWAY,1430 W THIRD ST,DAYTON,OH,45402-0000,0000,03,3,7100,200204,1,10,000000000,1,01,,0,0,06,0,08,,,,X21,
010612154,FAMILY CHRISTIAN CENTER,% FREDRICK C BAYS,1658 SUPERIOR AVE NE,CANTON,OH,44705-2054,1489,03,9,7000,196007,1,10,001268000,1,01,,0,0,06,0,12,,,,,
010618808,WESTERN OHIO JR FOOTBALL CONFERENCE,% DOUGLAS DAVIDSON,PO BOX 292515,KETTERING,OH,45429-0515,0000,03,3,1000,201406,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,X99,
010619219,FREE & ACCEPTED MASONS OF OHIO,% BRENT D GROSS - SECRETARY,317 E FIFTH ST,CINCINNATI,OH,45202-3309,0171,10,9,1000,194010,1,00,036000000,5,01,202409,0,0,02,0,09,0,0,0,,785 CALIBURN LODGE
010619670,FOUNDATION FOR THE CHALLENGED,% DAVID B AMERINE,5970 WILCOX PL STE D,DUBLIN,OH,43016-6808,0000,03,3,1000,200406,1,15,000000000,1,01,202312,8,6,01,0,12,25773951,2237753,1976964,P80,
010620688,GREATER COLUMBUS SPORTS FOUNDATION,% LINDA S LOGAN,277 W NATIONWIDE BLVD STE 125,COLUMBUS,OH,43215-7501,0000,03,3,1000,200204,1,17,000000000,1,01,202312,4,4,01,0,12,313941,122654,54322,N50,
010620697,STARK COUNTY CATTLEMANS ASSOCIATION,% REBECCA VINCENT,12185 NAVARRE RD SW,NAVARRE,OH,44662-9428,0000,05,3,1000,201704,2,00,000000000,5,01,202412,0,0,02,0,12,0,0,0,K20,
010621494,NEIGHBORHOOD LEADERSHIP INSTITUTE,% NEIGHBORHOOD CENTERS ASSOCIATION,5246 BROADWAY AVE,CLEVELAND,OH,44127-1505,0000,03,3,1200,200301,1,15,000000000,1,01,202312,6,6,01,0,12,1005204,1635935,1635935,S20,
